source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message
"{""feed_url"": ""http://host.docker.internal:1200/douban/group/699356/essence"", ""local_xml_url"": ""http://127.0.0.1:1200/douban/group/699356/essence"", ""row_index"": 12, ""source_category"": ""Articles"", ""source_name"": ""豆瓣小组-无用美学"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/douban/group/699356/essence""}",11,豆瓣小组-无用美学,Articles,http://127.0.0.1:1200/douban/group/699356/essence,https://macmini-rsshub.tail99ecfa.ts.net/douban/group/699356/essence,http://host.docker.internal:1200/douban/group/699356/essence,docker-host,True,success,3,3,0,3,1,unknown,0,0,3,0,,
"{""feed_url"": ""https://www.yuhenm.top/feed/"", ""local_xml_url"": """", ""row_index"": 13, ""source_category"": ""Articles"", ""source_name"": ""StarYuhen"", ""xml_url"": ""https://www.yuhenm.top/feed/""}",12,StarYuhen,Articles,,https://www.yuhenm.top/feed/,https://www.yuhenm.top/feed/,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,unknown,"{""detail"": ""HTTP Error 403: Forbidden""}"
"{""feed_url"": ""http://host.docker.internal:1200/sspai/index"", ""local_xml_url"": ""http://127.0.0.1:1200/sspai/index"", ""row_index"": 14, ""source_category"": ""优质信息源"", ""source_name"": ""少数派"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/sspai/index""}",13,少数派,优质信息源,http://127.0.0.1:1200/sspai/index,https://macmini-rsshub.tail99ecfa.ts.net/sspai/index,http://host.docker.internal:1200/sspai/index,docker-host,True,success,3,3,0,3,1,unknown,0,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:1200/sspai/matrix"", ""local_xml_url"": ""http://127.0.0.1:1200/sspai/matrix"", ""row_index"": 15, ""source_category"": ""优质信息源"", ""source_name"": ""少数派 -- Matrix"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/sspai/matrix""}",14,少数派 -- Matrix,优质信息源,http://127.0.0.1:1200/sspai/matrix,https://macmini-rsshub.tail99ecfa.ts.net/sspai/matrix,http://host.docker.internal:1200/sspai/matrix,docker-host,True,success,3,2,1,2,1,unknown,2,0,3,0,,
"{""feed_url"": ""https://www.experimental-history.com/feed"", ""local_xml_url"": """", ""row_index"": 16, ""source_category"": ""Articles"", ""source_name"": ""Experimental History"", ""xml_url"": ""https://www.experimental-history.com/feed""}",15,Experimental History,Articles,,https://www.experimental-history.com/feed,https://www.experimental-history.com/feed,docker-host,True,success,3,3,0,3,1,unknown,1,0,3,0,,
"{""feed_url"": ""https://www.remoteworkprep.com/blog?format=rss"", ""local_xml_url"": """", ""row_index"": 17, ""source_category"": ""Articles"", ""source_name"": ""Blog - Remote Work Prep"", ""xml_url"": ""https://www.remoteworkprep.com/blog?format=rss""}",16,Blog - Remote Work Prep,Articles,,https://www.remoteworkprep.com/blog?format=rss,https://www.remoteworkprep.com/blog?format=rss,docker-host,True,success,3,3,0,3,3,unknown,2,0,1,0,,
"{""feed_url"": ""https://www.eva-all.com/news/feed/"", ""local_xml_url"": """", ""row_index"": 18, ""source_category"": ""Articles"", ""source_name"": ""EVANGELION:ALL"", ""xml_url"": ""https://www.eva-all.com/news/feed/""}",17,EVANGELION:ALL,Articles,,https://www.eva-all.com/news/feed/,https://www.eva-all.com/news/feed/,docker-host,True,success,3,3,0,3,0,unknown,1,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:1200/xiaoyuzhou/podcast/62694abdb221dd5908417d1e"", ""local_xml_url"": ""http://127.0.0.1:1200/xiaoyuzhou/podcast/62694abdb221dd5908417d1e"", ""row_index"": 19, ""source_category"": ""Articles"", ""source_name"": ""纵横四海"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/xiaoyuzhou/podcast/62694abdb221dd5908417d1e""}",18,纵横四海,Articles,http://127.0.0.1:1200/xiaoyuzhou/podcast/62694abdb221dd5908417d1e,https://macmini-rsshub.tail99ecfa.ts.net/xiaoyuzhou/podcast/62694abdb221dd5908417d1e,http://host.docker.internal:1200/xiaoyuzhou/podcast/62694abdb221dd5908417d1e,docker-host,True,success,3,3,0,3,3,unknown,2,0,1,0,,
"{""feed_url"": ""https://51cg1.com/feed/"", ""local_xml_url"": """", ""row_index"": 20, ""source_category"": ""其他"", ""source_name"": ""51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台"", ""xml_url"": ""https://51cg1.com/feed/""}",19,51吃瓜网 - 吃瓜爆料第一站，全网最快最全的吃瓜平台,其他,,https://51cg1.com/feed/,https://51cg1.com/feed/,docker-host,True,success,3,3,0,3,0,unknown,0,0,3,0,,
"{""feed_url"": ""https://web2rss.cc/feed/rebang.today?preview=true"", ""local_xml_url"": """", ""row_index"": 21, ""source_category"": ""Articles"", ""source_name"": ""今日热榜"", ""xml_url"": ""https://web2rss.cc/feed/rebang.today?preview=true""}",20,今日热榜,Articles,,https://web2rss.cc/feed/rebang.today?preview=true,https://web2rss.cc/feed/rebang.today?preview=true,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,network_error,"{""detail"": ""<urlopen error [Errno -2] Name or service not known>""}"
"{""feed_url"": ""https://www.usmacd.com/atom.xml"", ""local_xml_url"": """", ""row_index"": 22, ""source_category"": ""Articles"", ""source_name"": ""安全代码"", ""xml_url"": ""https://www.usmacd.com/atom.xml""}",21,安全代码,Articles,,https://www.usmacd.com/atom.xml,https://www.usmacd.com/atom.xml,docker-host,True,success,3,3,0,3,1,unknown,0,0,3,0,,
"{""feed_url"": ""https://lawtee.com/index.xml"", ""local_xml_url"": """", ""row_index"": 23, ""source_category"": ""Articles"", ""source_name"": ""老T博客"", ""xml_url"": ""https://lawtee.com/index.xml""}",22,老T博客,Articles,,https://lawtee.com/index.xml,https://lawtee.com/index.xml,docker-host,True,success,3,3,0,3,2,unknown,1,0,2,0,,
"{""feed_url"": ""https://www.appinn.com/feed/"", ""local_xml_url"": """", ""row_index"": 24, ""source_category"": ""科技与编程"", ""source_name"": ""小众软件"", ""xml_url"": ""https://www.appinn.com/feed/""}",23,小众软件,科技与编程,,https://www.appinn.com/feed/,https://www.appinn.com/feed/,docker-host,True,success,3,3,0,3,3,unknown,0,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:1200/hellogithub/volume"", ""local_xml_url"": ""http://127.0.0.1:1200/hellogithub/volume"", ""row_index"": 25, ""source_category"": ""科技与编程"", ""source_name"": ""HelloGithub - 月刊"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/hellogithub/volume""}",24,HelloGithub - 月刊,科技与编程,http://127.0.0.1:1200/hellogithub/volume,https://macmini-rsshub.tail99ecfa.ts.net/hellogithub/volume,http://host.docker.internal:1200/hellogithub/volume,docker-host,True,success,3,3,0,3,3,unknown,1,0,2,0,,
"{""feed_url"": ""https://s.baoyu.io/feed.xml"", ""local_xml_url"": """", ""row_index"": 26, ""source_category"": ""科技与编程"", ""source_name"": ""宝玉的分享"", ""xml_url"": ""https://s.baoyu.io/feed.xml""}",25,宝玉的分享,科技与编程,,https://s.baoyu.io/feed.xml,https://s.baoyu.io/feed.xml,docker-host,True,success,3,3,0,3,2,unknown,1,0,2,0,,
"{""feed_url"": ""https://feeds.feedburner.com/ruanyifeng"", ""local_xml_url"": """", ""row_index"": 27, ""source_category"": ""科技与编程"", ""source_name"": ""阮一峰的网络日志"", ""xml_url"": ""https://feeds.feedburner.com/ruanyifeng""}",26,阮一峰的网络日志,科技与编程,,https://feeds.feedburner.com/ruanyifeng,https://feeds.feedburner.com/ruanyifeng,docker-host,True,success,3,3,0,3,3,unknown,1,0,2,0,,
"{""feed_url"": ""https://www.ftium4.com/rss.xml"", ""local_xml_url"": """", ""row_index"": 28, ""source_category"": ""科技与编程"", ""source_name"": ""龙爪槐守望者"", ""xml_url"": ""https://www.ftium4.com/rss.xml""}",27,龙爪槐守望者,科技与编程,,https://www.ftium4.com/rss.xml,https://www.ftium4.com/rss.xml,docker-host,True,success,3,3,0,3,2,unknown,2,1,2,0,,
"{""feed_url"": ""https://tool.bcrjl.com/snzy-rss/"", ""local_xml_url"": """", ""row_index"": 29, ""source_category"": ""科技与编程"", ""source_name"": ""十年之约聚合订阅"", ""xml_url"": ""https://tool.bcrjl.com/snzy-rss/""}",28,十年之约聚合订阅,科技与编程,,https://tool.bcrjl.com/snzy-rss/,https://tool.bcrjl.com/snzy-rss/,docker-host,True,success,3,2,1,2,2,unknown,0,0,3,0,,
"{""feed_url"": ""https://rss.utgd.net/feed/"", ""local_xml_url"": """", ""row_index"": 30, ""source_category"": ""科技与编程"", ""source_name"": ""#UNTAG"", ""xml_url"": ""https://rss.utgd.net/feed/""}",29,#UNTAG,科技与编程,,https://rss.utgd.net/feed/,https://rss.utgd.net/feed/,docker-host,True,success,3,3,0,3,2,unknown,1,0,3,0,,
"{""feed_url"": ""https://weekly.love/feed/atom"", ""local_xml_url"": """", ""row_index"": 31, ""source_category"": ""科技与编程"", ""source_name"": ""混沌周刊"", ""xml_url"": ""https://weekly.love/feed/atom""}",30,混沌周刊,科技与编程,,https://weekly.love/feed/atom,https://weekly.love/feed/atom,docker-host,True,success,3,3,0,3,3,unknown,1,0,2,0,,
"{""feed_url"": ""https://channel.ccino.org/rss.xml"", ""local_xml_url"": """", ""row_index"": 32, ""source_category"": ""科技与编程"", ""source_name"": ""🔔科技频道[奇诺分享-ccino.org]⚡️"", ""xml_url"": ""https://channel.ccino.org/rss.xml""}",31,🔔科技频道[奇诺分享-ccino.org]⚡️,科技与编程,,https://channel.ccino.org/rss.xml,https://channel.ccino.org/rss.xml,docker-host,True,success,3,3,0,3,0,unknown,0,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3279284299.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3279284299.atom"", ""row_index"": 33, ""source_category"": ""微信公众号"", ""source_name"": ""猴猴说话"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3279284299.atom""}",32,猴猴说话,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3279284299.atom,http://192.168.1.6:8003/feed/MP_WXS_3279284299.atom,http://host.docker.internal:8003/feed/MP_WXS_3279284299.atom,docker-host,True,success,3,3,0,3,2,unknown,2,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3239649460.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3239649460.atom"", ""row_index"": 34, ""source_category"": ""微信公众号"", ""source_name"": ""潦草学者"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3239649460.atom""}",33,潦草学者,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3239649460.atom,http://192.168.1.6:8003/feed/MP_WXS_3239649460.atom,http://host.docker.internal:8003/feed/MP_WXS_3239649460.atom,docker-host,True,success,3,3,0,3,3,unknown,1,0,2,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3015646136.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3015646136.atom"", ""row_index"": 35, ""source_category"": ""微信公众号"", ""source_name"": ""L先生说"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3015646136.atom""}",34,L先生说,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3015646136.atom,http://192.168.1.6:8003/feed/MP_WXS_3015646136.atom,http://host.docker.internal:8003/feed/MP_WXS_3015646136.atom,docker-host,True,success,3,3,0,3,2,unknown,1,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3944297233.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3944297233.atom"", ""row_index"": 36, ""source_category"": ""微信公众号"", ""source_name"": ""常青说"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3944297233.atom""}",35,常青说,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3944297233.atom,http://192.168.1.6:8003/feed/MP_WXS_3944297233.atom,http://host.docker.internal:8003/feed/MP_WXS_3944297233.atom,docker-host,True,success,3,3,0,3,1,unknown,1,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3097885397.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3097885397.atom"", ""row_index"": 37, ""source_category"": ""微信公众号"", ""source_name"": ""啊桂实验室"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3097885397.atom""}",36,啊桂实验室,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3097885397.atom,http://192.168.1.6:8003/feed/MP_WXS_3097885397.atom,http://host.docker.internal:8003/feed/MP_WXS_3097885397.atom,docker-host,True,success,3,3,0,3,2,unknown,2,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_2391461928.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_2391461928.atom"", ""row_index"": 38, ""source_category"": ""微信公众号"", ""source_name"": ""大问题Dialectic"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_2391461928.atom""}",37,大问题Dialectic,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2391461928.atom,http://192.168.1.6:8003/feed/MP_WXS_2391461928.atom,http://host.docker.internal:8003/feed/MP_WXS_2391461928.atom,docker-host,True,success,3,3,0,3,1,unknown,2,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3220087653.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3220087653.atom"", ""row_index"": 39, ""source_category"": ""微信公众号"", ""source_name"": ""ONE字幕组"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3220087653.atom""}",38,ONE字幕组,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3220087653.atom,http://192.168.1.6:8003/feed/MP_WXS_3220087653.atom,http://host.docker.internal:8003/feed/MP_WXS_3220087653.atom,docker-host,True,success,3,3,0,3,1,unknown,2,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_2396013984.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_2396013984.atom"", ""row_index"": 40, ""source_category"": ""微信公众号"", ""source_name"": ""everystep"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_2396013984.atom""}",39,everystep,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_2396013984.atom,http://192.168.1.6:8003/feed/MP_WXS_2396013984.atom,http://host.docker.internal:8003/feed/MP_WXS_2396013984.atom,docker-host,True,success,3,3,0,3,1,unknown,0,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:8003/feed/MP_WXS_3097360004.atom"", ""local_xml_url"": ""http://127.0.0.1:8003/feed/MP_WXS_3097360004.atom"", ""row_index"": 41, ""source_category"": ""微信公众号"", ""source_name"": ""走路"", ""xml_url"": ""http://192.168.1.6:8003/feed/MP_WXS_3097360004.atom""}",40,走路,微信公众号,http://127.0.0.1:8003/feed/MP_WXS_3097360004.atom,http://192.168.1.6:8003/feed/MP_WXS_3097360004.atom,http://host.docker.internal:8003/feed/MP_WXS_3097360004.atom,docker-host,True,success,3,3,0,3,3,unknown,1,0,3,0,,
"{""feed_url"": ""https://plink.anyfeeder.com/weixin/vistaweek"", ""local_xml_url"": """", ""row_index"": 42, ""source_category"": ""社评"", ""source_name"": ""Vista看天下"", ""xml_url"": ""https://plink.anyfeeder.com/weixin/vistaweek""}",41,Vista看天下,社评,,https://plink.anyfeeder.com/weixin/vistaweek,https://plink.anyfeeder.com/weixin/vistaweek,docker-host,True,success,3,3,0,3,2,unknown,0,0,3,0,,
"{""feed_url"": ""https://codechina.org/feed/"", ""local_xml_url"": """", ""row_index"": 43, ""source_category"": ""社评"", ""source_name"": ""Tinyfool的个人网站"", ""xml_url"": ""https://codechina.org/feed/""}",42,Tinyfool的个人网站,社评,,https://codechina.org/feed/,https://codechina.org/feed/,docker-host,True,success,3,3,0,3,2,unknown,2,0,1,0,,
"{""feed_url"": ""https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json"", ""local_xml_url"": """", ""row_index"": 44, ""source_category"": ""社评"", ""source_name"": ""刘夙的科技世界"", ""xml_url"": ""https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json""}",43,刘夙的科技世界,社评,,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,feed_parse_error,"{""detail"": ""failed to parse feed: <unknown>:2:0: not well-formed (invalid token)""}"
"{""feed_url"": ""https://the.bi/s/rawbbyu2zgmy32"", ""local_xml_url"": """", ""row_index"": 45, ""source_category"": ""社评"", ""source_name"": ""三联生活周刊 Lifeweek"", ""xml_url"": ""https://the.bi/s/rawbbyu2zgmy32""}",44,三联生活周刊 Lifeweek,社评,,https://the.bi/s/rawbbyu2zgmy32,https://the.bi/s/rawbbyu2zgmy32,docker-host,True,success,0,0,0,0,0,unknown,0,0,0,0,,
"{""feed_url"": ""http://host.docker.internal:1200/wyzxwk/article"", ""local_xml_url"": ""http://127.0.0.1:1200/wyzxwk/article"", ""row_index"": 46, ""source_category"": ""社评"", ""source_name"": ""时代观察 - 乌有之乡网刊"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/wyzxwk/article""}",45,时代观察 - 乌有之乡网刊,社评,http://127.0.0.1:1200/wyzxwk/article,https://macmini-rsshub.tail99ecfa.ts.net/wyzxwk/article,http://host.docker.internal:1200/wyzxwk/article,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,rsshub_503,"{""detail"": ""HTTP Error 503: Service Unavailable""}"
"{""feed_url"": ""http://host.docker.internal:1200/jike/topic/553870e8e4b0cafb0a1bef68"", ""local_xml_url"": ""http://127.0.0.1:1200/jike/topic/553870e8e4b0cafb0a1bef68"", ""row_index"": 47, ""source_category"": ""国内外资讯"", ""source_name"": ""一觉醒来发生了什么 - 即刻圈子"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/jike/topic/553870e8e4b0cafb0a1bef68""}",46,一觉醒来发生了什么 - 即刻圈子,国内外资讯,http://127.0.0.1:1200/jike/topic/553870e8e4b0cafb0a1bef68,https://macmini-rsshub.tail99ecfa.ts.net/jike/topic/553870e8e4b0cafb0a1bef68,http://host.docker.internal:1200/jike/topic/553870e8e4b0cafb0a1bef68,docker-host,True,success,3,3,0,3,0,unknown,3,0,3,0,,
"{""feed_url"": ""http://host.docker.internal:1200/dx2025"", ""local_xml_url"": ""http://127.0.0.1:1200/dx2025"", ""row_index"": 48, ""source_category"": ""国内外资讯"", ""source_name"": ""东西智库 – 专注中国制造业高质量发展"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/dx2025""}",47,东西智库 – 专注中国制造业高质量发展,国内外资讯,http://127.0.0.1:1200/dx2025,https://macmini-rsshub.tail99ecfa.ts.net/dx2025,http://host.docker.internal:1200/dx2025,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,rsshub_503,"{""detail"": ""HTTP Error 503: Service Unavailable""}"
"{""feed_url"": ""http://host.docker.internal:1200/gov/zhengce/zuixin"", ""local_xml_url"": ""http://127.0.0.1:1200/gov/zhengce/zuixin"", ""row_index"": 49, ""source_category"": ""国内政策"", ""source_name"": ""中国政府网 - 最新政策"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zuixin""}",48,中国政府网 - 最新政策,国内政策,http://127.0.0.1:1200/gov/zhengce/zuixin,https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zuixin,http://host.docker.internal:1200/gov/zhengce/zuixin,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,rsshub_503,"{""detail"": ""HTTP Error 503: Service Unavailable""}"
"{""feed_url"": ""http://host.docker.internal:1200/gov/zhengce/zhengceku/bmwj"", ""local_xml_url"": ""http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj"", ""row_index"": 50, ""source_category"": ""国内政策"", ""source_name"": ""- 政府文件库"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zhengceku/bmwj""}",49,- 政府文件库,国内政策,http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj,https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zhengceku/bmwj,http://host.docker.internal:1200/gov/zhengce/zhengceku/bmwj,docker-host,True,success,3,3,0,3,0,unknown,0,0,3,0,,
"{""feed_url"": ""https://wuyagege.substack.com/feed"", ""local_xml_url"": """", ""row_index"": 51, ""source_category"": ""Articles"", ""source_name"": ""不如读书"", ""xml_url"": ""https://wuyagege.substack.com/feed""}",50,不如读书,Articles,,https://wuyagege.substack.com/feed,https://wuyagege.substack.com/feed,docker-host,True,success,3,3,0,3,0,unknown,1,0,3,0,,
"{""feed_url"": ""https://lukaspetersson.com/feed.xml"", ""local_xml_url"": """", ""row_index"": 52, ""source_category"": ""Articles"", ""source_name"": ""Lukas Petersson’s blog"", ""xml_url"": ""https://lukaspetersson.com/feed.xml""}",51,Lukas Petersson’s blog,Articles,,https://lukaspetersson.com/feed.xml,https://lukaspetersson.com/feed.xml,docker-host,True,success,3,3,0,3,3,unknown,3,0,0,0,,
"{""feed_url"": ""http://host.docker.internal:1200/1point3acres/category/%E6%97%A5%E6%9C%AC"", ""local_xml_url"": ""http://127.0.0.1:1200/1point3acres/category/%E6%97%A5%E6%9C%AC"", ""row_index"": 53, ""source_category"": ""Articles"", ""source_name"": ""一亩三分地 - 日本热门帖子"", ""xml_url"": ""https://macmini-rsshub.tail99ecfa.ts.net/1point3acres/category/%E6%97%A5%E6%9C%AC""}",52,一亩三分地 - 日本热门帖子,Articles,http://127.0.0.1:1200/1point3acres/category/%E6%97%A5%E6%9C%AC,https://macmini-rsshub.tail99ecfa.ts.net/1point3acres/category/%E6%97%A5%E6%9C%AC,http://host.docker.internal:1200/1point3acres/category/%E6%97%A5%E6%9C%AC,docker-host,True,success,3,3,0,3,0,unknown,0,0,3,0,,
"{""feed_url"": ""https://toolight.cn/open/p/weekly/atom.xml"", ""local_xml_url"": """", ""row_index"": 54, ""source_category"": ""Articles"", ""source_name"": ""偷懒爱好者周刊"", ""xml_url"": ""https://toolight.cn/open/p/weekly/atom.xml""}",53,偷懒爱好者周刊,Articles,,https://toolight.cn/open/p/weekly/atom.xml,https://toolight.cn/open/p/weekly/atom.xml,docker-host,True,failed,0,0,0,0,0,unknown,0,0,0,0,unknown,"{""detail"": ""HTTP Error 404: Not Found""}"
"{""feed_url"": ""https://letters.geekplux.com/rss/"", ""local_xml_url"": """", ""row_index"": 55, ""source_category"": ""Articles"", ""source_name"": ""GeekPlux Letters"", ""xml_url"": ""https://letters.geekplux.com/rss/""}",54,GeekPlux Letters,Articles,,https://letters.geekplux.com/rss/,https://letters.geekplux.com/rss/,docker-host,True,success,3,3,0,3,2,unknown,0,0,3,0,,
