sequence,source_id,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,url_source,screen,row_index,status,priority
14,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/489640651"", ""local_xml_url"": """", ""row_index"": 15, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-489640651"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/489640651""}",bilibili-user-489640651,bilibili,,http://127.0.0.1:1200/bilibili/user/video/489640651,http://127.0.0.1:1200/bilibili/user/video/489640651,remote,xml_url,False,15,P2,rss
15,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1850874570"", ""local_xml_url"": """", ""row_index"": 16, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1850874570"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1850874570""}",bilibili-user-1850874570,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1850874570,http://127.0.0.1:1200/bilibili/user/video/1850874570,remote,xml_url,False,16,P2,rss
16,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/3493286931073848"", ""local_xml_url"": """", ""row_index"": 17, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-3493286931073848"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/3493286931073848""}",bilibili-user-3493286931073848,bilibili,,http://127.0.0.1:1200/bilibili/user/video/3493286931073848,http://127.0.0.1:1200/bilibili/user/video/3493286931073848,remote,xml_url,False,17,P2,rss
17,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/213845897"", ""local_xml_url"": """", ""row_index"": 18, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-213845897"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/213845897""}",bilibili-user-213845897,bilibili,,http://127.0.0.1:1200/bilibili/user/video/213845897,http://127.0.0.1:1200/bilibili/user/video/213845897,remote,xml_url,False,18,P2,rss
18,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/409842788"", ""local_xml_url"": """", ""row_index"": 19, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-409842788"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/409842788""}",bilibili-user-409842788,bilibili,,http://127.0.0.1:1200/bilibili/user/video/409842788,http://127.0.0.1:1200/bilibili/user/video/409842788,remote,xml_url,False,19,P2,rss
19,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/600428973"", ""local_xml_url"": """", ""row_index"": 20, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-600428973"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/600428973""}",bilibili-user-600428973,bilibili,,http://127.0.0.1:1200/bilibili/user/video/600428973,http://127.0.0.1:1200/bilibili/user/video/600428973,remote,xml_url,False,20,P2,rss
20,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/17549684"", ""local_xml_url"": """", ""row_index"": 21, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-17549684"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/17549684""}",bilibili-user-17549684,bilibili,,http://127.0.0.1:1200/bilibili/user/video/17549684,http://127.0.0.1:1200/bilibili/user/video/17549684,remote,xml_url,False,21,P2,rss
21,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1366786686"", ""local_xml_url"": """", ""row_index"": 22, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1366786686"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1366786686""}",bilibili-user-1366786686,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1366786686,http://127.0.0.1:1200/bilibili/user/video/1366786686,remote,xml_url,False,22,P2,rss
22,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/3537109151386355"", ""local_xml_url"": """", ""row_index"": 23, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-3537109151386355"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/3537109151386355""}",bilibili-user-3537109151386355,bilibili,,http://127.0.0.1:1200/bilibili/user/video/3537109151386355,http://127.0.0.1:1200/bilibili/user/video/3537109151386355,remote,xml_url,False,23,P2,rss
23,"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107"", ""local_xml_url"": """", ""row_index"": 24, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-346563107"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107""}",bilibili-user-346563107,bilibili,,http://127.0.0.1:1200/bilibili/user/video/346563107,http://127.0.0.1:1200/bilibili/user/video/346563107,remote,xml_url,False,24,P2,rss
