source_id,sequence,source_name,source_category,local_xml_url,xml_url,feed_url,url_mode,screen,status,total_items,new_items,duplicate_items,screened_items,recommended_items_from_api_response,new_items_recommended,new_event_items,incremental_items,silent_items,failed_items,error_type,error_message,fetch_feed_seconds,llm_basic_screening_seconds,llm_need_matching_seconds,embedding_seconds,lock_wait_seconds,lock_held_seconds,source_total_seconds
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/495979610"", ""local_xml_url"": """", ""row_index"": 12, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-495979610"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/495979610""}",11,bilibili-user-495979610,bilibili,,http://127.0.0.1:1200/bilibili/user/video/495979610,http://127.0.0.1:1200/bilibili/user/video/495979610,remote,False,success,5,0,5,0,0,unknown,0,0,4,0,,,2.667,,,,0.004,0.02,2.711
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/14004258"", ""local_xml_url"": """", ""row_index"": 13, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-14004258"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/14004258""}",12,bilibili-user-14004258,bilibili,,http://127.0.0.1:1200/bilibili/user/video/14004258,http://127.0.0.1:1200/bilibili/user/video/14004258,remote,False,success,5,0,5,0,4,unknown,0,0,3,0,,,2.034,,,,0.007,0.006,2.06
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/521296768"", ""local_xml_url"": """", ""row_index"": 14, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-521296768"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/521296768""}",13,bilibili-user-521296768,bilibili,,http://127.0.0.1:1200/bilibili/user/video/521296768,http://127.0.0.1:1200/bilibili/user/video/521296768,remote,False,success,5,0,5,0,3,unknown,0,0,5,0,,,1.941,,,,0.0,0.007,1.959
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/489640651"", ""local_xml_url"": """", ""row_index"": 15, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-489640651"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/489640651""}",14,bilibili-user-489640651,bilibili,,http://127.0.0.1:1200/bilibili/user/video/489640651,http://127.0.0.1:1200/bilibili/user/video/489640651,remote,False,success,5,0,5,0,2,unknown,0,0,4,0,,,2.348,,,,0.0,0.006,2.368
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1850874570"", ""local_xml_url"": """", ""row_index"": 16, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1850874570"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1850874570""}",15,bilibili-user-1850874570,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1850874570,http://127.0.0.1:1200/bilibili/user/video/1850874570,remote,False,success,5,0,5,0,1,unknown,0,0,1,0,,,1.453,,,,0.0,0.005,1.464
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/3493286931073848"", ""local_xml_url"": """", ""row_index"": 17, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-3493286931073848"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/3493286931073848""}",16,bilibili-user-3493286931073848,bilibili,,http://127.0.0.1:1200/bilibili/user/video/3493286931073848,http://127.0.0.1:1200/bilibili/user/video/3493286931073848,remote,False,success,5,0,5,0,1,unknown,0,0,5,0,,,1.985,,,,0.0,0.006,2.004
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/213845897"", ""local_xml_url"": """", ""row_index"": 18, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-213845897"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/213845897""}",17,bilibili-user-213845897,bilibili,,http://127.0.0.1:1200/bilibili/user/video/213845897,http://127.0.0.1:1200/bilibili/user/video/213845897,remote,False,success,5,0,5,0,2,unknown,0,0,5,0,,,1.926,,,,0.0,0.007,1.95
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/409842788"", ""local_xml_url"": """", ""row_index"": 19, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-409842788"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/409842788""}",18,bilibili-user-409842788,bilibili,,http://127.0.0.1:1200/bilibili/user/video/409842788,http://127.0.0.1:1200/bilibili/user/video/409842788,remote,False,success,5,0,5,0,1,unknown,0,0,5,0,,,1.943,,,,0.0,0.006,1.962
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/600428973"", ""local_xml_url"": """", ""row_index"": 20, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-600428973"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/600428973""}",19,bilibili-user-600428973,bilibili,,http://127.0.0.1:1200/bilibili/user/video/600428973,http://127.0.0.1:1200/bilibili/user/video/600428973,remote,False,success,5,0,5,0,3,unknown,0,0,5,0,,,2.312,,,,0.0,0.006,2.334
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/17549684"", ""local_xml_url"": """", ""row_index"": 21, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-17549684"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/17549684""}",20,bilibili-user-17549684,bilibili,,http://127.0.0.1:1200/bilibili/user/video/17549684,http://127.0.0.1:1200/bilibili/user/video/17549684,remote,False,success,5,0,5,0,1,unknown,0,0,2,0,,,1.61,,,,0.0,0.005,1.624
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1366786686"", ""local_xml_url"": """", ""row_index"": 22, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1366786686"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1366786686""}",21,bilibili-user-1366786686,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1366786686,http://127.0.0.1:1200/bilibili/user/video/1366786686,remote,False,success,5,0,5,0,4,unknown,0,0,2,0,,,2.16,,,,0.0,0.006,2.174
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/3537109151386355"", ""local_xml_url"": """", ""row_index"": 23, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-3537109151386355"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/3537109151386355""}",22,bilibili-user-3537109151386355,bilibili,,http://127.0.0.1:1200/bilibili/user/video/3537109151386355,http://127.0.0.1:1200/bilibili/user/video/3537109151386355,remote,False,success,5,5,0,0,5,unknown,0,0,5,0,,,3.106,,,,0.0,0.009,3.131
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107"", ""local_xml_url"": """", ""row_index"": 24, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-346563107"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/346563107""}",23,bilibili-user-346563107,bilibili,,http://127.0.0.1:1200/bilibili/user/video/346563107,http://127.0.0.1:1200/bilibili/user/video/346563107,remote,False,success,5,5,0,0,5,unknown,0,0,5,0,,,3.43,,,,0.0,0.008,3.452
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/730732"", ""local_xml_url"": """", ""row_index"": 25, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-730732"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/730732""}",24,bilibili-user-730732,bilibili,,http://127.0.0.1:1200/bilibili/user/video/730732,http://127.0.0.1:1200/bilibili/user/video/730732,remote,False,success,5,2,3,0,5,unknown,0,0,5,0,,,0.007,,,,0.0,0.007,0.025
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/1372433"", ""local_xml_url"": """", ""row_index"": 26, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-1372433"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/1372433""}",25,bilibili-user-1372433,bilibili,,http://127.0.0.1:1200/bilibili/user/video/1372433,http://127.0.0.1:1200/bilibili/user/video/1372433,remote,False,success,5,5,0,0,5,unknown,0,0,5,0,,,3.957,,,,0.0,0.028,4.001
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/281127303"", ""local_xml_url"": """", ""row_index"": 27, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-281127303"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/281127303""}",26,bilibili-user-281127303,bilibili,,http://127.0.0.1:1200/bilibili/user/video/281127303,http://127.0.0.1:1200/bilibili/user/video/281127303,remote,False,success,5,5,0,0,5,unknown,0,0,5,0,,,2.871,,,,0.0,0.012,2.9
"{""feed_url"": ""http://127.0.0.1:1200/bilibili/user/video/279991456"", ""local_xml_url"": """", ""row_index"": 28, ""source_category"": ""bilibili"", ""source_name"": ""bilibili-user-279991456"", ""xml_url"": ""http://127.0.0.1:1200/bilibili/user/video/279991456""}",27,bilibili-user-279991456,bilibili,,http://127.0.0.1:1200/bilibili/user/video/279991456,http://127.0.0.1:1200/bilibili/user/video/279991456,remote,False,success,5,5,0,0,5,unknown,0,0,5,0,,,3.476,,,,0.0,0.007,3.495
